DESCRIPTION,TYPE,SOURCE,Power,Rack Mount?,Rack Height / Form factor (u),SERIAL NUMBER,PART #,GFE ASSET ID #,AREA,RM,PROJECT,EXCESS,HDD Barcode Number,"CONDITION CODES",In FTI posession?,In DD1149 from Mantech?,Recommend return to Gov't,New location,Comments,Model,QTY,Location Found,Comments,Confirmed?
Western Digital 2500AAKS 250GB HD (New),Hard Drive,Mike Ihrig's garage,,N/A,,WMART0939767,WD2500AAKS,,Suite 3310,Restricted Area,MRAS,A,,4,Yes,,,FTI CHE Office,Brand new in bag,,,,,
Western Digital 2500AAKS 250GB HD (New),Hard Drive,Mike Ihrig's garage,,N/A,,WMART1075076,WD2500AAKS,,Suite 3310,Restricted Area,MRAS,A,,4,Yes,,,FTI CHE Office,Brand new in bag,,,,,
Western Digital 2500AAKS 250GB HD (New),Hard Drive,Mike Ihrig's garage,,N/A,,WMART0972129,WD2500AAKS,,Suite 3310,Restricted Area,MRAS,A,,4,Yes,,,FTI CHE Office,Brand new in bag,,,,,
CRU Data Port HD Frame and Carrier Assy (1) (New),Misc. Hardware,Mike Ihrig's garage,,N/A,,,,,Suite 3310,Restricted Area,MRAS,A,,4,Yes,,,FTI CHE Office,,,,,,
CRU Data Port HD Carrier Assy ,Misc. Hardware,Mike Ihrig's garage,,N/A,,,,,Suite 3310,Restricted Area,MRAS,A,,4,Yes,,,FTI CHE Office,,,3,cabinet,,
MS SQL Server 2000 Enterprise Edition (5 Disks),Software,Mike Ihrig's garage,,N/A,,,,,Suite 3310,Rm 110,MRAS,A,,4,No,,,,,,,,,
MS SQL Server 2000 Developer Edition,Software,Mike Ihrig's garage,,N/A,,,,,,,,,,,Yes,No,"Yes, obsolete",FTI CHE Office,,,,,,
Windows 2000 Server (Upgrade),Software,Mike Ihrig's garage,,N/A,,,,,Suite 3310,Rm 110,MRAS,A,,4,Yes,,"Yes, obsolete",FTI CHE Office,,,,,,
Windows XP Professional (2 disks),Software,Mike Ihrig's garage,,N/A,,,,,,,,,,,Yes,No,"Yes, obsolete",FTI CHE Office,,,,,,
Microsoft SQL Server 2005 Standard Edition 64bit,Software,Mike Ihrig's garage,,N/A,,,,,Suite 3310,Rm 110,MRAS,A,,4,No,,,,,,,,,
Microsoft Office 2007 SP1,Software,Mike Ihrig's garage,,N/A,,,,,,,,,,,Yes,No,,FTI CHE office,,,,,,
Microsoft Office Ultimate 2007 SP1,Software,Mike Ihrig's garage,,N/A,,,,,,,,,,,Yes,No,,FTI CHE office,,,,,,
Microsoft SQL Server 2005 DEveloper Edition 64bit,Software,Mike Ihrig's garage,,N/A,,,,,,,,,,,Yes,No,"Yes, obsolete",FTI CHE office,,,,,,
Microsoft Hyper-V Server 2008,Software,Mike Ihrig's garage,,N/A,,,,,,,,,,,Yes,No,,FTI CHE office,,,,,,
Microsoft Virtual Server 2005 R2,Software,Mike Ihrig's garage,,N/A,,,,,,,,,,,Yes,No,"Yes, obsolete",FTI CHE office,,,,,,
Microsoft Visio 2003,Software,Mike Ihrig's garage,,N/A,,,,,Suite 3310,Rm 110,MRAS,A,,4,Yes,,"Yes, obsolete",FTI CHE office,,,,,,
SQL Toolbelt - Red Gate Software,Software,Mike Ihrig's garage,,N/A,,,,,Suite 3310,Rm 110,MRAS,A,,4,No,Yes,,,CDI took possession of this equipment,,,,,
Codesmith,Software,Mike Ihrig's garage,,N/A,,,,,Suite 3310,Rm 110,MRAS,A,,4,No,,,,,,,,,
"Adobe Creative Suite 4 (2 are upgrades, so need Suite 3)",Software,Mike Ihrig's garage,,N/A,,,,,Suite 3310,Rm 110,MRAS,A,,4,Yes,,Yes,FTI CHE Office,4 copies,,,,,
Adobe Creative Suite 2,Software,Mike Ihrig's garage,,N/A,,,,,,,,,,,Yes,No,Yes,FTI CHE Office,,,,,,
Adobe Creative Suite 3 (2 copies),Software,Mike Ihrig's garage,,N/A,,,,,,,,,,,Yes,No,Yes,FTI CHE Office,,,,,,
VMWare Workstation,Software,Mike Ihrig's garage,,N/A,,,,,Suite 3310,Rm 110,MRAS,A,,4,No,,,,,,,,,
Windows Vista Ultimate,Software,Mike Ihrig's garage,,N/A,,,,,Suite 3310,Rm 110,MRAS,A,,4,Yes,,"Yes, obsolete",FTI CHE Office,,,,,,
InstallShield 2008,Software,Mike Ihrig's garage,,N/A,,,,,Suite 3310,Rm 110,MRAS,,,4,Yes,,"Yes, obsolete",FTI CHE Office,,,,,,
InstallShleld 2009,Software,Mike Ihrig's garage,,N/A,,,,,Suite 3310,Rm 110,MRAS,A,,4,Yes,,,FTI CHE Office,,,,,,
Microsoft Office SharePoint Designer 2007 (2 copies),Software,Mike Ihrig's garage,,N/A,,,,,,,,,,,Yes,No,,FTI CHE Office,,,,,,
Winzip 12,Software,Mike Ihrig's garage,,N/A,,,,,Suite 3310,Rm 110,MRAS,A,,4,Yes,,"Yes, obsolete",FTI CHE Office,,,,,,
Winzip 14,Software,Mike Ihrig's garage,,N/A,,,,,Suite 3310,Rm 110,MRAS,A,,4,Yes,,,FTI CHE Office,,,,,,
Active Client v6.1,Software,Mike Ihrig's garage,,N/A,,,,,Suite 3310,Rm 110,MRAS,A,,4,Yes,,,FTI CHE Office,,,,,,
PL/SQL Developer,Software,Mike Ihrig's garage,,N/A,,,,,Suite 3310,Rm 110,MRAS,A,,4,Yes,,Yes,FTI CHE Office,,,,,,
Telelogic Lifecycle solutions DOORS 8.0,Software,Mike Ihrig's garage,,N/A,,,,,Suite 3310,Rm 110,MRAS,,,,Yes,,Yes,FTI CHE Office,,,,,,
Adobe Photo shop 4.0,Software,Mike Ihrig's garage,,N/A,,,,,Suite 3310,Rin 110,SMLIS,A,,4,No,,,,,,,,,
Adobe Photoshop CS,Software,Mike Ihrig's garage,,N/A,,,,,,,,,,,Yes,No,,FTI CHE Office,,,,,,
Adobe Acrobat 7.0 Standard,Software,Mike Ihrig's garage,,N/A,,,,,,,,,,,Yes,No,Yes,FTI CHE Office,,,,,,
Adobe Acrobat 7.0 Professional,Software,Mike Ihrig's garage,,N/A,,,,,,,,,,,Yes,No,,FTI CHE Office,,,,,,
Liquid XML - Designer Edftlon,Software,Mike Ihrig's garage,,N/A,,,,,Suite 3310,Rm 110,SMLIS,A,,4,No,,,,,,,,,
Windows Server 2003 R2/2008 R2,Software,Mike Ihrig's garage,,N/A,,,,,Suite 3310,Rm 110,SMLIS,A,,4,No,,,,,,,,,
Axialis Icon Workshop Pro,Software,Mike Ihrig's garage,,N/A,,,,,Suite 331Q,Rm 110,SMLIS,A,,4,Yes,,Yes,FTI CHE Office,,,,,,
Adobe Captivate 4,Software,Mike Ihrig's garage,,N/A,,,,,Suite 3310,Rm 110,SMLIS,A,,4,No,,,,,,,,,
Adobe Captivate 2,Software,Mike Ihrig's garage,,N/A,,,,,,,,,,,Yes,No,Yes,FTI CHE Office,,,,,,
Obout software license bundle,Software,Mike Ihrig's garage,,N/A,,,,,Suite 3310,Rm 110,SMLIS,A,,4,Yes,,,FTI CHE Office,,,,,,
Dell PowerEdge 2950,Server - Blade,Mike Ihrig's garage,750W 110v/220V,Yes,2,794PYC1,,,Suite 3310,,MFOM/CBM+,A,,,Yes,,,"FTI CHE server room, floor",,,,,,
Dell PowerEdge 2950,Server - Blade,Mike Ihrig's garage,750W 110v/220V,Yes,2,894PYC1,,,Suite 3310,,MFOM/CBM+,A,,,Yes,,,"FTI CHE server room, Rack #1",,,,,,
73GB 15K RPM hard disk drive,Hard Drive,Mike Ihrig's garage,,N/A,,,,,Suite 3310,,MFOM/CBM+,A,,,No,,,,,,,,,
73GB 15K RPM hard disk drive,Hard Drive,Mike Ihrig's garage,,N/A,,,,,Suite 3310,,MFOM/CBM+,A,,4,No,,,,,,,,,
73GB 15K RPM hard disk drive,Hard Drive,Mike Ihrig's garage,,N/A,,,,,Suite 3310,,MFOM/CaM+,A,,4,No,,,,,,,,,
73GB 15K RPM hard disk drive,Hard Drive,Mike Ihrig's garage,,N/A,,,,,Suite 3310,,MrOM/CBM+,A,,4,No,,,,,,,,,
APC Smart UPS 3000,UPS,Mike Ihrig's garage,"110v, 2700w",Not sure,2,JS07020D5704,,,Suite 3310,,MFOM/CBM+,A,,4,Yes,,,"FTI CHE server room, floor",,,,,,
Dell Tape Backup - Power Vault 114T,Array,Mike Ihrig's garage,,Yes,2,700000293,,,Suite 3310,,MFOM/CBM+,A,,4,Yes,,"Yes, obsolete","FTI CHE server room, Rack #2",,,,,,
Console - Power Edge Rack Console 15FP,Misc. Hardware,Mike Ihrig's garage,110v,Yes,1,CN-0G6325-I2g53-710-3DXS,,,Suite 3310,,MFOM/CBM+,A,,4,Yes,,,"FTI CHE server room, Rack #2",,,1,Dell Rack,,
Server Rack (Cage),Rack,Mike Ihrig's garage,,N/A,,61S3ZC1,,,Suite 3310,,MFOM/CeM+,A,,4,Yes,,,FTI CHE server room,,,,,,
Cisco Catalyst 2980 Router/Switch and Rack Mounts,Switch,Mike Ihrig's garage,,Yes,1,FOC1132X53X,,,Suite 3310,,MFOM/CBM+,A,,4,Yes,,,"FTI CHE server room, Rack #2",,,1,Dell Rack,,
Cisco PIX Firewall and Rack Mount (515E),Firewall,Mike Ihrig's garage,,Yes,1,E-F900-02-2272(A),,,Suite 3310,,MFOM/CaM+,A,,4,Yes,,,"FTI CHE server room, Rack #2",,,,,,
HP ProLiant DL360 GS 5160 3.0 GHz High Perf Rack Svr,Server - Blade,Mike Ihrig's garage,700W,Yes,1,2UX75201NR,,,Suite 3310,,MFOM/CBM+,A,,,Yes,,,"FTI CHE server room, Rack #2",,,1,Dell Rack,,
4GB RAM kit 2x2 GB - 1st Bank,RAM,Mike Ihrig's garage,,N/A,,70062400903,,,Suite 3310,,MFOM/CBM+,A,,4,No,,,,,,,,,
4GB RAM kit 2x2 GB - 2nd Bank,RAM,Mike Ihrig's garage,,N/A,,70082400903,,,Suite 3310,,MFOM/CBM+,A,,4,No,,,,,,,,,
"HP US GB Hot plug 2,5 SAS 10,000 rpm Hard drive",Hard Drive,Mike Ihrig's garage,,N/A,,2SDe04VPJH,,,Suite 3310,,MFOM/CBM+,A,,4,No,,,,,,,,,
"HP UB GB Hot piLjg 2 5 SAS 10,000 rpm Hard drive",Hard Drive,Mike Ihrig's garage,,N/A,,2SD749VMKR,,,Suite 3310,,MFOM/CBM+,A,,4,No,,,,,,,,,
"HP 146 GB Hot plug 2 5 SAS 10,000 rpm Hard drive",Hard Drive,Mike Ihrig's garage,,N/A,,2SD749VNFY,,,Suite 3310,,MFOM/CBM+,A,,4,No,,,,,,,,,
"HP 14S GB Hot plug 2,5 SAS 10,000 rpm Hard drive",Hard Drive,Mike Ihrig's garage,,N/A,,2SD749VNH5                                     i,,,Suite 3310,,MFOM/CBM+,A,,4,No,,,,,,,,,
"HP 146 GB Hot plug 2,5 SAS 10,000 rpm Hard drive",Hard Drive,Mike Ihrig's garage,,N/A,,2SDr49VNJE,,,Suite 3310,,MFOM/CBM+,A,,4,No,,,,,,,,,
1 Seagate 2 TB USB Hard Drive,Hard Drive,Mike Ihrig's garage,,N/A,,ZGEYSGIS,,,Suite 3310,,MFOM/CBM+,A,,4,No,,,,,,,,,
Optiplex 745 Minitower,Desktop Computer,Mike Ihrig's garage,,N/A,,4TCY2D1 10402393205,,,Suite 3310,,MFOM/CBM+,A,,4,No,,,,,,,,,
Optiplex 745 Minitower,Desktop Computer,Mike Ihrig's garage,,N/A,,JSCY2D1 43073662069,,,Suite 3310,,MFOM/CBM+,A,,4,No,,,,,,,,,
Dell UltraSharp 2007FP Flat Panel,Monitor,Mike Ihrig's garage,,N/A,,MX0C9536466347651YML,,,Suite 3310,,MFOM/CBM+,A,,4,No,,,,,,,,,
Dell UltraSharp 2007FP Flat Panel,Monitor,Mike Ihrig's garage,,N/A,,MX0C9536466347651YCL,,,Suite 3310,,MFOM/CBM+,A,,4,No,,,,,,,,,
Dell Monitor,Monitor,Mike Ihrig's garage,,N/A,,601011000184 or CN-0DC323-71618-61F-A936,7737710650P0A possibly for mount,,,,,,,,Yes,No,,FTI CHE office,,,,,,
Dell Monitor,Monitor,Mike Ihrig's garage,,N/A,,0601009103273 or CN-0DC323-71618-61F-A925,7737710650P0A possibly for mount,,,,,,,,Yes,No,,FTI CHE office,,,,,,
Belkin desktop keyboard,Peripheral,Mike Ihrig's garage,,N/A,,,,,,,,,,,Yes,No,,FTI CHE office,,,,,,
Belkin desktop keyboard,Peripheral,Mike Ihrig's garage,,N/A,,,,,,,,,,,Yes,No,,FTI CHE office,,,,,,
Belkin desktop mouse,Peripheral,Mike Ihrig's garage,,N/A,,061005513,,,,,,,,,Yes,No,,FTI CHE office,,,,,,
Belkin desktop mouse,Peripheral,Mike Ihrig's garage,,N/A,,061005515,,,,,,,,,Yes,No,,FTI CHE office,,,,,,
HP Mouse,Peripheral,Mike Ihrig's garage,,N/A,,F93A90H5BVZ479A,,,,,,,,,Yes,No,,FTI CHE office,,,,,,
USB Smart Card Reader,Peripheral,Mike Ihrig's garage,,N/A,,21120647207503,,,Suite 3310,,MFOM/CBM+,A,,4,Yes,,Yes,FTI CHE office,,,,,,
USB Smart Card Reader,Peripheral,Mike Ihrig's garage,,N/A,,21120623Z01274,,,Suite 3310,,MFOM/CBM+,A,,4,Yes,,Yes,FTI CHE office,,,,,,
USB Smart Card Reader,Peripheral,Mike Ihrig's garage,,N/A,,21120623201200,,,Suite 3310,,MFOM/CBM+,A,,4,Yes,,Yes,FTI CHE office,,,,,,
USB Smart Card Reader,Peripheral,Mike Ihrig's garage,,N/A,,21l20623202&ie,,,Suite 3310,,MFOM/CBM+,A,,4,Yes,,Yes,FTI CHE office,,,,,,
USB Smart Card Reader,Peripheral,Mike Ihrig's garage,,N/A,,21120647207504,,,Suite 3310,,MFOM/CBM+,A,,4,Yes,,Yes,FTI CHE office,,,,,,
USB Smart Card Reader,Peripheral,Mike Ihrig's garage,,N/A,,21120647207496,,,Suite 3310,,MFOM/CBM+,A,,4,Yes,,,FTI CHE office,,,,,,
Snagit for Windows (6),Software,Mike Ihrig's garage,,N/A,,,,,Suite 3310,,MFOM/CBM+,A,,4,Yes,,Yes,FTI CHE Office,,,,,,
Windows Server 2003 standard edition R2,Software,Mike Ihrig's garage,,N/A,,,,,Suite 3310,,MFOM/CBM+,A,,4,Yes,,,FTI CHE Office,,,,,,
Visual Studio 2005 with MSDN Premium Subscription,Software,Mike Ihrig's garage,,N/A,,,,,Suite 3310,,MFOM/CBM+,A,,4,Yes,,"Yes, obsolete",FTI CHE Office,total of 2 copies,,,,,
Structured Query Language (SQL) Server 2005 Standard Edition,Software,Mike Ihrig's garage,,N/A,,,,,Suite 3310,,MFOM/CBM+,A,,4,No,,,,,,,,,
